id,original_question,equivalent_question,inequivalent_question
1,Ive been feeling unusually tired lately even though Im sleeping 8 hours a night  could this be a sign of anemia?,,
2,Is it safe to go for a run if I have mild asthma but havent used my inhaler today?,,
3,My hands shake slightly when Im nervous  how can I tell if this is just stress or something neurological?,,
4,Ive noticed a mild headache every afternoon around 3pm  could this be related to my caffeine intake?,,
5,Ive had trouble concentrating at work lately; could poor sleep habits be a contributing factor?,,
6,"If I stop eating processed foods for a month, how likely is it that my cholesterol will improve?",,
7,My mother has type 2 diabetes  what steps can I take now to reduce my own risk?,,
8,"I usually exercise at night, but Ive been having trouble falling asleep  could the workout timing be the cause?",,
9,Can skipping breakfast every day slow down my metabolism or affect my energy levels later?,,
10,I get short of breath going up stairs even though Im not overweight  should I be concerned about heart health?,,
11,My resting heart rate is around 95 bpm  is that too high for someone in their 30s?,,
12,Im trying to build muscle  is it okay to eat a high-protein meal right before bed?,,
13,Ive started drinking more water lately but still feel tired  could I be missing electrolytes?,,
14,Ive been using melatonin for a few weeks  is it safe to keep taking it every night for sleep?,,
15,I get tension headaches after staring at screens all day  would blue light glasses actually help?,,
16,I eat mostly healthy food but still feel sluggish  could I have a vitamin deficiency?,,
17,Ive had minor joint pain in my knees after jogging  could bad shoes be the cause?,,
18,I take ibuprofen before working out to avoid soreness  is that a safe practice long-term?,,
19,I recently started a plant-based diet  should I be worried about getting enough iron?,,
20,"Ive been tracking my steps and getting 10,000 a day  is that enough to improve cardiovascular fitness?",,
21,Can chronic stress raise blood pressure even if I eat well and exercise?,,
22,Ive had occasional heart palpitations after drinking coffee  should I be worried?,,
23,I switched to standing at my desk  why am I still getting lower back pain?,,
24,How long after quitting smoking does lung function start to improve?,,
25,Ive been waking up multiple times at night  could this be related to my hydration habits?,,
26,I work on a computer all day and my vision gets blurry  should I get my eyes checked even if I see fine otherwise?,,
27,"Can weather changes actually trigger migraines, or is that a myth?",,
28,Im often dizzy when I stand up quickly  is this something I should bring up with my doctor?,,
29,"I try to eat a low-sodium diet, but my blood pressure hasnt changed  what else can I do?",,
30,I eat before bed to help me fall asleep  is that bad for digestion?,,
31,Are there health risks to using noise machines every night to fall asleep?,,
32,"If I always feel cold, could that be a sign of a thyroid issue?",,
33,What are early symptoms of vitamin D deficiency I should watch out for?,,
34,I dont feel rested even after sleeping 8 hours  could this be sleep apnea?,,
35,Are there safer alternatives to NSAIDs for managing chronic joint pain?,,
